HM_CUT	HM01
HM_FLY	HM02
HM_SURF	HM03
HM_STRENGTH	HM04
HM_FLASH	HM05
TM_MEGA_PUNCH	TM01
TM_RAZOR_WIND	TM02
TM_SWORDS_DANCE	TM03
TM_WHIRLWIND	TM04
TM_MEGA_KICK	TM05
TM_TOXIC	TM06
TM_HORN_DRILL	TM07
TM_BODY_SLAM	TM08
TM_TAKE_DOWN	TM09
TM_DOUBLE_EDGE	TM10
TM_BUBBLEBEAM	TM11
TM_WATER_GUN	TM12
TM_ICE_BEAM	TM13
TM_BLIZZARD	TM14
TM_HYPER_BEAM	TM15
TM_PAY_DAY	TM16
TM_SUBMISSION	TM17
TM_COUNTER	TM18
TM_SEISMIC_TOSS	TM19
TM_RAGE	TM20
TM_MEGA_DRAIN	TM21
TM_SOLARBEAM	TM22
TM_DRAGON_RAGE	TM23
TM_THUNDERBOLT	TM24
TM_THUNDER	TM25
TM_EARTHQUAKE	TM26
TM_FISSURE	TM27
TM_DIG	TM28
TM_PSYCHIC_M	TM29
TM_TELEPORT	TM30
TM_MIMIC	TM31
TM_DOUBLE_TEAM	TM32
TM_REFLECT	TM33
TM_BIDE	TM34
TM_METRONOME	TM35
TM_SELFDESTRUCT	TM36
TM_EGG_BOMB	TM37
TM_FIRE_BLAST	TM38
TM_SWIFT	TM39
TM_SKULL_BASH	TM40
TM_SOFTBOILED	TM41
TM_DREAM_EATER	TM42
TM_SKY_ATTACK	TM43
TM_REST	TM44
TM_THUNDER_WAVE	TM45
TM_PSYWAVE	TM46
TM_EXPLOSION	TM47
TM_ROCK_SLIDE	TM48
TM_TRI_ATTACK	TM49
TM_SUBSTITUTE	TM50
