EVENT_BEAT_AGATHAS_ROOM_TRAINER_0	AGATHAS_ROOM
EVENT_BEAT_ARTICUNO	SEAFOAM_ISLANDS_B4F
EVENT_BEAT_BRUNOS_ROOM_TRAINER_0	BRUNOS_ROOM
EVENT_BEAT_CELADON_GYM_TRAINER_0	CELADON_GYM
EVENT_BEAT_CELADON_GYM_TRAINER_1	CELADON_GYM
EVENT_BEAT_CELADON_GYM_TRAINER_2	CELADON_GYM
EVENT_BEAT_CELADON_GYM_TRAINER_3	CELADON_GYM
EVENT_BEAT_CELADON_GYM_TRAINER_4	CELADON_GYM
EVENT_BEAT_CELADON_GYM_TRAINER_5	CELADON_GYM
EVENT_BEAT_CELADON_GYM_TRAINER_6	CELADON_GYM
EVENT_BEAT_CERULEAN_GYM_TRAINER_0	CERULEAN_GYM
EVENT_BEAT_CERULEAN_GYM_TRAINER_1	CERULEAN_GYM
EVENT_BEAT_FIGHTING_DOJO_TRAINER_0	FIGHTING_DOJO
EVENT_BEAT_FIGHTING_DOJO_TRAINER_1	FIGHTING_DOJO
EVENT_BEAT_FIGHTING_DOJO_TRAINER_2	FIGHTING_DOJO
EVENT_BEAT_FIGHTING_DOJO_TRAINER_3	FIGHTING_DOJO
EVENT_BEAT_FUCHSIA_GYM_TRAINER_0	FUCHSIA_GYM
EVENT_BEAT_FUCHSIA_GYM_TRAINER_1	FUCHSIA_GYM
EVENT_BEAT_FUCHSIA_GYM_TRAINER_2	FUCHSIA_GYM
EVENT_BEAT_FUCHSIA_GYM_TRAINER_3	FUCHSIA_GYM
EVENT_BEAT_FUCHSIA_GYM_TRAINER_4	FUCHSIA_GYM
EVENT_BEAT_FUCHSIA_GYM_TRAINER_5	FUCHSIA_GYM
EVENT_BEAT_LANCES_ROOM_TRAINER_0	LANCES_ROOM
EVENT_BEAT_LORELEIS_ROOM_TRAINER_0	LORELEIS_ROOM
EVENT_BEAT_MANSION_1_TRAINER_0	POKEMON_MANSION_1F
EVENT_BEAT_MANSION_2_TRAINER_0	POKEMON_MANSION_2F
EVENT_BEAT_MANSION_3_TRAINER_0	POKEMON_MANSION_3F
EVENT_BEAT_MANSION_3_TRAINER_1	POKEMON_MANSION_3F
EVENT_BEAT_MANSION_4_TRAINER_0	POKEMON_MANSION_B1F
EVENT_BEAT_MANSION_4_TRAINER_1	POKEMON_MANSION_B1F
EVENT_BEAT_MEWTWO	CERULEAN_CAVE_B1F
EVENT_BEAT_MOLTRES	VICTORY_ROAD_2F
EVENT_BEAT_MT_MOON_1_TRAINER_0	MT_MOON_1F
EVENT_BEAT_MT_MOON_1_TRAINER_1	MT_MOON_1F
EVENT_BEAT_MT_MOON_1_TRAINER_2	MT_MOON_1F
EVENT_BEAT_MT_MOON_1_TRAINER_3	MT_MOON_1F
EVENT_BEAT_MT_MOON_1_TRAINER_4	MT_MOON_1F
EVENT_BEAT_MT_MOON_1_TRAINER_5	MT_MOON_1F
EVENT_BEAT_MT_MOON_1_TRAINER_6	MT_MOON_1F
EVENT_BEAT_MT_MOON_3_SUPER_NERD	MT_MOON_B2F
EVENT_BEAT_MT_MOON_3_TRAINER_0	MT_MOON_B2F
EVENT_BEAT_MT_MOON_3_TRAINER_1	MT_MOON_B2F
EVENT_BEAT_MT_MOON_3_TRAINER_2	MT_MOON_B2F
EVENT_BEAT_MT_MOON_3_TRAINER_3	MT_MOON_B2F
EVENT_BEAT_PEWTER_GYM_TRAINER_0	PEWTER_GYM
EVENT_BEAT_POKEMONTOWER_3_TRAINER_0	POKEMON_TOWER_3F
EVENT_BEAT_POKEMONTOWER_3_TRAINER_1	POKEMON_TOWER_3F
EVENT_BEAT_POKEMONTOWER_3_TRAINER_2	POKEMON_TOWER_3F
EVENT_BEAT_POKEMONTOWER_4_TRAINER_0	POKEMON_TOWER_4F
EVENT_BEAT_POKEMONTOWER_4_TRAINER_1	POKEMON_TOWER_4F
EVENT_BEAT_POKEMONTOWER_4_TRAINER_2	POKEMON_TOWER_4F
EVENT_BEAT_POKEMONTOWER_5_TRAINER_0	POKEMON_TOWER_5F
EVENT_BEAT_POKEMONTOWER_5_TRAINER_1	POKEMON_TOWER_5F
EVENT_BEAT_POKEMONTOWER_5_TRAINER_2	POKEMON_TOWER_5F
EVENT_BEAT_POKEMONTOWER_5_TRAINER_3	POKEMON_TOWER_5F
EVENT_BEAT_POKEMONTOWER_6_TRAINER_0	POKEMON_TOWER_6F
EVENT_BEAT_POKEMONTOWER_6_TRAINER_1	POKEMON_TOWER_6F
EVENT_BEAT_POKEMONTOWER_6_TRAINER_2	POKEMON_TOWER_6F
EVENT_BEAT_POKEMONTOWER_7_TRAINER_0	POKEMON_TOWER_7F
EVENT_BEAT_POKEMONTOWER_7_TRAINER_1	POKEMON_TOWER_7F
EVENT_BEAT_POKEMONTOWER_7_TRAINER_2	POKEMON_TOWER_7F
EVENT_BEAT_POWER_PLANT_VOLTORB_0	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_1	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_2	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_3	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_4	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_5	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_6	POWER_PLANT
EVENT_BEAT_POWER_PLANT_VOLTORB_7	POWER_PLANT
EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_0	ROCKET_HIDEOUT_B1F
EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_1	ROCKET_HIDEOUT_B1F
EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_2	ROCKET_HIDEOUT_B1F
EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_3	ROCKET_HIDEOUT_B1F
EVENT_BEAT_ROCKET_HIDEOUT_1_TRAINER_4	ROCKET_HIDEOUT_B1F
EVENT_BEAT_ROCKET_HIDEOUT_2_TRAINER_0	ROCKET_HIDEOUT_B2F
EVENT_BEAT_ROCKET_HIDEOUT_3_TRAINER_0	ROCKET_HIDEOUT_B3F
EVENT_BEAT_ROCKET_HIDEOUT_3_TRAINER_1	ROCKET_HIDEOUT_B3F
EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_0	ROCKET_HIDEOUT_B4F
